RowID,EntryID,Gny,Placement,Finish,Start,Weight,Successful,Experienced,SameDriver,WonLast,WonLastThree
﻿İstanbul_26022020_1_RADYOCUKIZ,﻿İstanbul_26022020_1,"4,65",2,1,0,1,0,0,0,0,0
﻿İstanbul_26022020_1_SENNA,﻿İstanbul_26022020_1,"2,95",3,1,0,1,1,0,0,0,0
﻿İstanbul_26022020_1_BIANCABIANCA,﻿İstanbul_26022020_1,"1,80",4,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_1_UNTIMELY,﻿İstanbul_26022020_1,"13,95",5,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_1_ZING,﻿İstanbul_26022020_1,"16,25",6,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_1_WINTERSLOVE,﻿İstanbul_26022020_1,"44,35",7,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_1_KADRUSHKA,﻿İstanbul_26022020_1,"96,85",8,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_1_PROMISE,﻿İstanbul_26022020_1,"22,30",9,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_1_TOKGÖZİDA,﻿İstanbul_26022020_1,"85,40",10,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_1_MISSADANA,﻿İstanbul_26022020_1,"104,30",11,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_2_BERKALP,﻿İstanbul_26022020_2,"6,45",1,1,0,1,1,1,0,0,0
﻿İstanbul_26022020_2_AKKULA,﻿İstanbul_26022020_2,"4,55",2,1,1,1,1,1,0,0,0
﻿İstanbul_26022020_2_AFACAN,﻿İstanbul_26022020_2,"1,95",3,1,0,1,1,1,0,0,0
﻿İstanbul_26022020_2_ÖZEKAN,﻿İstanbul_26022020_2,"3,45",4,0,0,1,1,1,0,0,0
﻿İstanbul_26022020_2_NASUHOĞLU,﻿İstanbul_26022020_2,"14,65",5,0,0,1,1,1,0,0,0
﻿İstanbul_26022020_2_PRATİKNEVZAT,﻿İstanbul_26022020_2,"41,10",6,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_2_ALEMİNKRALI,﻿İstanbul_26022020_2,"48,15",7,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_2_ONURLUEFE,﻿İstanbul_26022020_2,"20,20",8,0,0,1,1,1,0,0,0
﻿İstanbul_26022020_3_KARAGÜLBEYİ,﻿İstanbul_26022020_3,"5,10",1,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_3_DUMAN,﻿İstanbul_26022020_3,"2,50",2,1,0,1,1,1,0,0,0
﻿İstanbul_26022020_3_LİZARDON,﻿İstanbul_26022020_3,"17,00",3,1,1,1,0,1,0,0,0
﻿İstanbul_26022020_3_ÖZPAR,﻿İstanbul_26022020_3,"3,60",4,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_3_KRALARTUR,﻿İstanbul_26022020_3,"23,25",5,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_3_ÖNCÜPINAR,﻿İstanbul_26022020_3,"8,45",6,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_3_ZEKİDAYI,﻿İstanbul_26022020_3,"15,60",7,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_3_CANKURTBEY,﻿İstanbul_26022020_3,"6,85",8,0,0,1,1,1,0,0,0
﻿İstanbul_26022020_3_EMİRSOY,﻿İstanbul_26022020_3,"27,60",9,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_GÜZELASİYA,﻿İstanbul_26022020_4,"2,15",1,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_ROJA,﻿İstanbul_26022020_4,"6,45",2,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_ŞİNTAY,﻿İstanbul_26022020_4,"11,40",3,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_SEVDAM,﻿İstanbul_26022020_4,"23,35",4,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_KAÇKARKIZI,﻿İstanbul_26022020_4,"13,10",5,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_AKDENİZFIRTINASI,﻿İstanbul_26022020_4,"36,90",7,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_4_SARIHANDAN,﻿İstanbul_26022020_4,"12,35",8,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_4_KUZEYHAMZA,﻿İstanbul_26022020_4,"8,85",9,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_KARADUTUM,﻿İstanbul_26022020_4,"37,65",10,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_PUFUDUK,﻿İstanbul_26022020_4,"44,85",11,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_FOTOKIZI,﻿İstanbul_26022020_4,"23,85",12,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_4_NEVRİYEHANIM,﻿İstanbul_26022020_4,"16,95",13,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_4_GÜLEKBOĞAZI,﻿İstanbul_26022020_4,"26,20",14,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_5_VAYABIEN,﻿İstanbul_26022020_5,"2,50",1,1,1,1,1,0,0,0,0
﻿İstanbul_26022020_5_PERSIANPRINCE,﻿İstanbul_26022020_5,"3,55",2,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_5_BABYKING,﻿İstanbul_26022020_5,"6,70",3,1,0,1,1,0,0,0,0
﻿İstanbul_26022020_5_ALICE,﻿İstanbul_26022020_5,"15,85",5,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_5_VOLİMTE,﻿İstanbul_26022020_5,"24,05",6,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_5_VICKYBARON,﻿İstanbul_26022020_5,"5,95",7,0,1,1,0,0,0,0,0
﻿İstanbul_26022020_5_MERHAN,﻿İstanbul_26022020_5,"26,05",9,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_5_MYAEROBICLADY,﻿İstanbul_26022020_5,"72,10",10,0,0,1,1,0,0,0,0
﻿İstanbul_26022020_5_ZNAMENKA,﻿İstanbul_26022020_5,"54,40",11,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_6_DARKDAUGHTER,﻿İstanbul_26022020_6,"12,55",1,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_6_LASTCHANCELADY,﻿İstanbul_26022020_6,"7,40",2,1,1,1,1,0,0,0,0
﻿İstanbul_26022020_6_SMARTDIAMOND,﻿İstanbul_26022020_6,"11,30",3,1,0,1,0,0,0,0,0
﻿İstanbul_26022020_6_FREESULTAN,﻿İstanbul_26022020_6,"1,95",4,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_6_JUDYFAST,﻿İstanbul_26022020_6,"7,70",5,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_6_BELIEVEINME,﻿İstanbul_26022020_6,"12,20",6,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_6_LUNALOVEGOOD,﻿İstanbul_26022020_6,"24,45",7,0,1,1,1,0,0,0,0
﻿İstanbul_26022020_6_POKERFACE,﻿İstanbul_26022020_6,"20,20",8,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_6_HODOR,﻿İstanbul_26022020_6,"4,50",9,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_7_GYPSYGIRL,﻿İstanbul_26022020_7,"1,55",1,1,0,1,1,0,0,0,0
﻿İstanbul_26022020_7_TITANIUM,﻿İstanbul_26022020_7,"4,15",2,1,0,1,1,0,0,0,0
﻿İstanbul_26022020_7_CİNGOROZ,﻿İstanbul_26022020_7,"6,00",3,1,1,1,0,1,0,0,0
﻿İstanbul_26022020_7_MİHRİBAN,﻿İstanbul_26022020_7,"41,60",4,0,1,1,0,0,0,0,0
﻿İstanbul_26022020_7_MYAEROBICLADY,﻿İstanbul_26022020_7,"9,55",5,0,0,1,1,0,0,0,0
﻿İstanbul_26022020_7_DEVEROV,﻿İstanbul_26022020_7,"19,20",6,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_7_ADEO,﻿İstanbul_26022020_7,"26,25",7,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_7_ROCKYBOY,﻿İstanbul_26022020_7,"65,65",8,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_7_SEAVALLEY,﻿İstanbul_26022020_7,"63,30",9,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_7_ŞİVA,﻿İstanbul_26022020_7,"84,10",10,0,0,1,0,0,0,0,0
﻿İstanbul_26022020_7_SEVAY,﻿İstanbul_26022020_7,"57,40",11,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_7_MISSADANA,﻿İstanbul_26022020_7,"46,05",12,0,0,1,0,1,1,0,0
﻿İstanbul_26022020_8_DEFEMME,﻿İstanbul_26022020_8,"6,60",1,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_JUNO,﻿İstanbul_26022020_8,"2,70",2,1,0,1,1,1,0,0,0
﻿İstanbul_26022020_8_REY,﻿İstanbul_26022020_8,"52,85",3,1,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_WHITEFACE,﻿İstanbul_26022020_8,"13,55",4,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_KINDOFBLUE,﻿İstanbul_26022020_8,"5,10",5,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_MYSTICGREEN,﻿İstanbul_26022020_8,"2,70",6,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_8_SUMMERLIGHT,﻿İstanbul_26022020_8,"36,50",7,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_FLAMBOYANT,﻿İstanbul_26022020_8,"13,30",8,0,0,1,1,1,0,0,0
﻿İstanbul_26022020_8_SAMOTHRAKI,﻿İstanbul_26022020_8,"16,30",9,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_DIRTYGIRL,﻿İstanbul_26022020_8,"49,85",10,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_8_PENGUEN,﻿İstanbul_26022020_8,"8,50",11,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_NİĞDELİKIZ,﻿İstanbul_26022020_8,"20,85",12,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_IMOGEN,﻿İstanbul_26022020_8,"9,55",13,0,1,1,0,1,0,0,0
﻿İstanbul_26022020_8_RIOBLONDIE,﻿İstanbul_26022020_8,"41,00",14,0,0,1,1,1,0,0,0
﻿İstanbul_26022020_8_QUITO,﻿İstanbul_26022020_8,"21,80",15,0,0,1,0,1,0,0,0
﻿İstanbul_26022020_8_HEEGRAN,﻿İstanbul_26022020_8,"160,90",16,0,0,1,0,1,0,0,0
﻿Bursa_26022020_1_KOSOVAATEŞİ,﻿Bursa_26022020_1,"3,35",1,1,0,1,0,1,0,0,0
﻿Bursa_26022020_1_BARTUEFE,﻿Bursa_26022020_1,"8,10",2,1,0,1,0,1,0,0,0
﻿Bursa_26022020_1_HASALTUN,﻿Bursa_26022020_1,"2,10",3,1,0,1,1,1,0,0,0
﻿Bursa_26022020_1_ÇAKIRDAĞLI,﻿Bursa_26022020_1,"7,65",4,0,0,1,0,0,0,0,0
﻿Bursa_26022020_1_SARAYLIKIZ,﻿Bursa_26022020_1,"19,35",5,0,1,1,0,1,0,0,0
